,game_code,date,team,side,opp,PA,IP,ER,H,2B,3B,HR,BB,IBB,K,HBP,SF,GDP,GB,FB,LD,PU,days_rest
8,CLE-2015-05-01,2015-05-01,CLE,H,TOR,4,1.0,0,1,1,0,0,0,0,1,0,0,0,1,2,0,0,1
9,CLE-2015-05-03,2015-05-03,CLE,H,TOR,4,1.0,1,1,0,0,1,0,0,2,0,0,0,0,2,0,1,1
10,KCR-2015-05-07,2015-05-07,CLE,A,KCR,4,1.0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,3
11,CLE-2015-05-10,2015-05-10,CLE,H,MIN,5,1.0,1,1,0,0,0,1,0,2,0,0,0,2,0,0,0,2
12,CLE-2015-05-13,2015-05-13,CLE,H,STL,3,1.0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,2
13,TEX-2015-05-15,2015-05-15,CLE,A,TEX,4,1.0,0,0,0,0,0,1,0,1,0,0,0,0,2,1,0,1
14,TEX-2015-05-16,2015-05-16,CLE,A,TEX,3,1.0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0
15,CHW-2015-05-19,2015-05-19,CLE,A,CHW,4,1.1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,2
16,CHW-2015-05-20,2015-05-20,CLE,A,CHW,7,1.0,1,2,0,0,0,2,0,1,0,0,0,2,2,1,1,0
17,CLE-2015-05-23,2015-05-23,CLE,H,CIN,3,1.0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,2
18,CLE-2015-05-24,2015-05-24,CLE,H,CIN,5,1.0,1,1,1,0,0,1,0,2,0,0,0,1,1,1,0,0
19,CLE-2015-05-26,2015-05-26,CLE,H,TEX,3,0.2,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1
20,SEA-2015-05-28,2015-05-28,CLE,A,SEA,3,1.0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1
21,SEA-2015-05-30,2015-05-30,CLE,A,SEA,4,1.1,0,1,0,0,0,0,0,1,0,0,1,2,1,1,0,1
22,SEA-2015-05-31,2015-05-31,CLE,A,SEA,4,1.0,0,1,1,0,0,0,0,1,0,0,0,2,1,1,0,0
23,KCR-2015-06-02,2015-06-02,CLE,A,KCR,3,1.0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1
24,CLE-2015-06-06,2015-06-06,CLE,H,BAL,3,1.0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,3
25,CLE-2015-06-11,2015-06-11,CLE,H,SEA,3,1.0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,4
